ID,GENDER,BIRTHDAYDATE,EDUCATION,JOBCATEGORY,SALARY,SALARY_BEGIN,JOBTIME,PREVIOUSEXPERIENCE,MINORITY
0,Male,1952-02-03,15,Manager,57000.0,27000.0,98.0,144.0,No
1,Male,1958-05-23,16,Clerical,40200.0,18750.0,98.0,36.0,No
2,Female,1929-07-26,12,Clerical,21450.0,12000.0,98.0,381.0,No
3,Female,1947-04-15,8,Clerical,21900.0,13200.0,98.0,190.0,No
4,Male,1955-02-09,15,Clerical,45000.0,21000.0,98.0,138.0,No
5,Male,1958-08-22,15,Clerical,32100.0,13500.0,98.0,67.0,No
6,Male,1956-04-26,15,Clerical,36000.0,18750.0,98.0,114.0,No
7,Female,1966-05-06,12,Clerical,21900.0,9750.0,98.0,missing,No
8,Female,1946-01-23,15,Clerical,27900.0,12750.0,98.0,115.0,No
9,Female,1946-02-13,12,Clerical,24000.0,13500.0,98.0,244.0,No
10,Female,1950-02-07,16,Clerical,30300.0,16500.0,98.0,143.0,No
11,Male,1966-01-11,8,Clerical,28350.0,12000.0,98.0,26.0,Yes
12,Male,1960-07-17,15,Clerical,27750.0,14250.0,98.0,34.0,Yes
13,Female,1949-02-26,15,Clerical,35100.0,16800.0,98.0,137.0,Yes
14,Male,1962-08-29,12,Clerical,27300.0,13500.0,97.0,66.0,No
15,Male,1964-11-17,12,Clerical,40800.0,15000.0,97.0,24.0,No
16,Male,1962-07-18,15,Clerical,46000.0,14250.0,97.0,48.0,No
17,Male,1956-03-20,16,Manager,103750.0,27510.0,97.0,70.0,No
18,Male,1962-08-19,12,Clerical,42300.0,14250.0,97.0,103.0,No
19,Female,1940-01-23,12,Clerical,26250.0,11550.0,97.0,48.0,No
20,Female,1963-02-19,16,Clerical,38850.0,15000.0,97.0,17.0,No
21,Male,1940-09-24,12,Clerical,21750.0,12750.0,97.0,315.0,Yes
22,Female,1965-03-15,15,Clerical,24000.0,11100.0,97.0,75.0,Yes
23,Female,1933-03-27,12,Clerical,16950.0,9000.0,97.0,124.0,Yes
24,Female,1942-07-01,15,Clerical,21150.0,9000.0,97.0,171.0,Yes
25,Male,1966-11-08,15,Clerical,31050.0,12600.0,96.0,14.0,No
26,Male,1954-03-19,19,Manager,60375.0,27480.0,96.0,96.0,No
27,Male,1963-04-11,15,Clerical,32550.0,14250.0,96.0,43.0,No
28,Male,1944-01-28,19,Manager,135000.0,79980.0,96.0,199.0,No
29,Male,1961-09-17,15,Clerical,31200.0,14250.0,96.0,54.0,No
30,Male,1964-02-24,12,Clerical,36150.0,14250.0,96.0,83.0,No
31,Male,1954-01-28,19,Manager,110625.0,45000.0,96.0,120.0,No
32,Male,1961-03-18,15,Clerical,42000.0,15000.0,96.0,68.0,No
33,Male,1949-02-02,19,Manager,92000.0,39990.0,96.0,175.0,No
34,Male,1961-08-22,17,Manager,81250.0,30000.0,96.0,18.0,No
35,Female,1963-08-07,8,Clerical,31350.0,11250.0,96.0,52.0,No
36,Male,1954-10-09,12,Clerical,29100.0,13500.0,96.0,113.0,Yes
37,Male,1962-04-27,15,Clerical,31350.0,15000.0,96.0,49.0,Yes
38,Male,1960-06-22,16,Clerical,36000.0,15000.0,96.0,46.0,Yes
39,Female,1933-08-28,15,Clerical,19200.0,9000.0,96.0,23.0,Yes
40,Female,1961-03-18,12,Clerical,23550.0,11550.0,96.0,52.0,Yes
41,Male,1960-09-23,15,Clerical,35100.0,16500.0,95.0,90.0,No
42,Male,1964-01-18,12,Clerical,23250.0,14250.0,95.0,46.0,No
43,Male,1963-06-15,8,Clerical,29250.0,14250.0,95.0,50.0,No
44,Male,1938-08-02,12,Custodial,30750.0,13500.0,95.0,307.0,No
45,Female,1940-11-18,15,Clerical,22350.0,12750.0,95.0,165.0,No
46,Female,1938-04-28,12,Clerical,30000.0,16500.0,95.0,228.0,No
47,Male,1947-06-07,12,Custodial,30750.0,14100.0,94.0,240.0,No
48,Male,1958-09-16,15,Clerical,34800.0,16500.0,94.0,93.0,No
49,Male,1960-02-09,16,Manager,60000.0,23730.0,94.0,59.0,No
50,Male,1962-07-08,12,Clerical,35550.0,15000.0,94.0,48.0,No
51,Male,1963-11-12,15,Clerical,45150.0,15000.0,94.0,40.0,No
52,Male,1954-04-21,18,Manager,73750.0,26250.0,94.0,56.0,No
53,Male,1931-06-04,12,Clerical,25050.0,13500.0,94.0,444.0,No
54,Male,1960-06-25,12,Clerical,27000.0,15000.0,94.0,120.0,No
55,Male,1962-04-16,15,Clerical,26850.0,13500.0,94.0,5.0,No
56,Male,1963-04-15,15,Clerical,33900.0,15750.0,94.0,78.0,No
57,Female,1964-11-14,15,Clerical,26400.0,13500.0,94.0,3.0,No
58,Male,1961-05-07,15,Clerical,28050.0,14250.0,94.0,36.0,Yes
59,Male,1959-02-16,12,Clerical,30900.0,15000.0,94.0,102.0,Yes
60,Male,1964-04-28,8,Clerical,22500.0,9750.0,94.0,36.0,Yes
61,Male,1962-07-18,16,Manager,48000.0,21750.0,93.0,22.0,No
62,Male,1961-08-20,17,Manager,55000.0,26250.0,93.0,32.0,No
63,Male,1963-09-28,16,Manager,53125.0,21000.0,93.0,48.0,No
64,Male,1964-03-28,8,Clerical,21900.0,14550.0,93.0,41.0,No
65,Male,1962-02-16,19,Manager,78125.0,30000.0,93.0,7.0,No
66,Male,1964-05-28,16,Manager,46000.0,21240.0,93.0,35.0,No
67,Male,1963-05-05,16,Manager,45250.0,21480.0,93.0,36.0,No
68,Male,1960-06-23,16,Manager,56550.0,25000.0,93.0,34.0,No
69,Male,1962-02-08,15,Clerical,41100.0,20250.0,93.0,27.0,No
70,Male,1948-08-26,17,Manager,82500.0,34980.0,93.0,207.0,No
71,Female,1964-01-07,16,Clerical,54000.0,18000.0,93.0,11.0,No
72,Female,1968-02-09,12,Clerical,26400.0,10500.0,93.0,missing,No
73,Female,1933-04-28,15,Clerical,33900.0,19500.0,93.0,192.0,No
74,Female,1965-08-12,15,Clerical,24150.0,11550.0,93.0,missing,No
75,Female,1967-09-03,15,Clerical,29250.0,11550.0,93.0,11.0,No
76,Female,1968-09-09,12,Clerical,27600.0,11400.0,93.0,6.0,No
77,Female,1968-08-20,12,Clerical,22950.0,10500.0,93.0,10.0,No
78,Female,1962-01-23,16,Clerical,34800.0,14550.0,93.0,8.0,No
79,Female,1961-05-25,16,Clerical,51000.0,18000.0,93.0,22.0,No
80,Female,1968-03-12,12,Clerical,24300.0,10950.0,93.0,5.0,No
81,Female,1947-08-28,12,Clerical,24750.0,14250.0,93.0,193.0,Yes
82,Female,1967-10-12,12,Clerical,22950.0,11250.0,93.0,missing,Yes
83,Female,1967-03-12,8,Clerical,25050.0,10950.0,93.0,8.0,Yes
84,Male,1962-04-09,15,Clerical,25950.0,17100.0,92.0,42.0,No
85,Male,1961-08-25,15,Clerical,31650.0,15750.0,92.0,64.0,No
86,Male,1959-10-20,12,Clerical,24150.0,14100.0,92.0,130.0,No
87,Male,1962-02-10,19,Manager,72500.0,28740.0,92.0,10.0,No
88,Male,1961-06-24,19,Manager,68750.0,27480.0,92.0,8.0,No
89,Female,1938-02-27,8,Clerical,16200.0,9750.0,92.0,missing,No
90,Female,1967-11-04,12,Clerical,20100.0,11250.0,92.0,24.0,No
91,Female,1968-06-25,8,Clerical,24000.0,10950.0,92.0,6.0,No
92,Female,1968-03-05,12,Clerical,25950.0,10950.0,92.0,missing,No
93,Female,1950-08-04,12,Clerical,24600.0,10050.0,92.0,44.0,No
94,Female,1968-08-08,12,Clerical,28500.0,10500.0,92.0,6.0,No
95,Male,1933-10-02,8,Custodial,30750.0,15000.0,92.0,432.0,Yes
96,Male,1953-01-18,17,Clerical,40200.0,19500.0,92.0,168.0,Yes
97,Male,1956-05-17,8,Custodial,30000.0,15000.0,92.0,144.0,Yes
98,Female,1968-07-07,12,Clerical,22050.0,10950.0,92.0,5.0,Yes
99,Male,1963-10-25,18,Manager,78250.0,27480.0,91.0,47.0,No
100,Male,1960-03-14,16,Manager,60625.0,22500.0,91.0,44.0,No
101,Male,1963-03-28,14,Clerical,39900.0,15750.0,91.0,59.0,No
102,Male,1959-03-17,19,Manager,97000.0,35010.0,91.0,68.0,No
103,Male,1962-11-05,15,Clerical,27450.0,15750.0,91.0,48.0,No
104,Male,1966-03-07,15,Clerical,31650.0,13500.0,91.0,18.0,No
105,Male,1962-08-04,19,Manager,91250.0,29490.0,91.0,23.0,No
106,Female,1960-08-16,12,Clerical,25200.0,14400.0,91.0,83.0,No
107,Female,1930-07-16,12,Clerical,21000.0,11550.0,91.0,108.0,No
108,Male,1963-11-10,12,Clerical,30450.0,15000.0,91.0,49.0,Yes
109,Male,1952-10-29,15,Clerical,28350.0,18000.0,91.0,151.0,Yes
110,Male,1940-11-27,12,Custodial,30750.0,9000.0,91.0,314.0,Yes
111,Male,1948-06-21,12,Custodial,30750.0,15000.0,91.0,240.0,Yes
112,Male,1959-10-06,16,Manager,54875.0,27480.0,90.0,68.0,No
113,Male,1961-08-25,14,Clerical,37800.0,16500.0,90.0,60.0,No
114,Male,1961-05-12,15,Clerical,33450.0,14100.0,90.0,85.0,No
115,Male,1962-06-09,15,Clerical,30300.0,16500.0,90.0,16.0,No
116,Female,1932-01-14,12,Clerical,31500.0,18750.0,90.0,205.0,No
117,Female,1964-03-04,12,Clerical,31650.0,14250.0,90.0,48.0,No
118,Female,1963-07-23,12,Clerical,25200.0,14100.0,90.0,55.0,No
119,Female,1964-11-12,16,Manager,37800.0,15750.0,90.0,7.0,No
120,Female,1936-08-06,15,Clerical,18750.0,10500.0,90.0,54.0,No
